Afghanistan,"['Afghan Persian or Dari','Pashtu' ,' Uzbek','Turkmen']"
Albania,"['Albanian','Greek','Vlach',' Romani']"
Algeria,"Arabic (official), French, Berber dialects"
American Samoa,['Samoan']
Andorra,"Catalan (official), French, Castilian, Portuguese"
Angola,"Portuguese (official), Bantu and other African languages"
Anguilla,English (official)
Antigua and Barbuda,"English (official), local dialects"
Argentina,"Spanish (official), English, Italian, German, French"
Armenia,"Armenian 97.7%, Yezidi 1%, Russian 0.9%, other 0.4% (2001 census)"
Aruba,"Dutch (official), Papiamento (a Spanish, Portuguese, Dutch, English dialect), English (widely spoken), Spanish."
Australia,"English 79.1%, Chinese 2.1%, Italian 1.9%, other 11.1%, unspecified 5.8% (2001 Census)"
Austria,"German (official nationwide), Slovene (official in Carinthia), Croatian (official in Burgenland), Hungarian (official in Burgenland)."
Azerbaijan,"Azerbaijani (Azeri) 89%, Russian 3%, Armenian 2%, other 6% (1995 est.)"
"Bahamas, The","English (official), Creole (among Haitian immigrants)"
Bahrain,"Arabic, English, Farsi, Urdu"
Bangladesh,"Bangla (official, also known as Bengali), English"
Barbados,English
Belarus,"Belarusian, Russian, other"
Belgium,"Dutch (official) 60%, French (official) 40%, German (official) less than 1%, legally bilingual (Dutch and French)."
Belize,"English (official), Spanish, Mayan, Garifuna (Carib), Creole"
Benin,"French (official), Fon and Yoruba (most common vernaculars in south), tribal languages (at least six major ones in north)."
Bermuda,"English (official), Portuguese"
Bhutan,"Dzongkha (official), Bhotes speak various Tibetan dialects, Nepalese speak various Nepalese dialects"
Bolivia,"Spanish (official), Quechua (official), Aymara (official)"
Bosnia and Herzegovina,"Bosnian, Croatian, Serbian"
Botswana,"Setswana 78.2%, Kalanga 7.9%, Sekgalagadi 2.8%, English 2.1% (official), other 8.6%, unspecified 0.4% (2001 census)."
Brazil,"Portuguese (official), Spanish, English, French"
British Virgin Islands,English (official)
Brunei,"Malay (official), English, Chinese"
Bulgaria,"Bulgarian 84.5%, Turkish 9.6%, Roma 4.1%, other and unspecified 1.8% (2001 census)"
Burkina Faso,"French (official), native African languages belonging to Sudanic family spoken by 90% of the population"
Burma,"Burmese, minority ethnic groups have their own languages"
