Afghanistan,"34169169"
Albania,"2911428"
Algeria,"41063753"
American Samoa,"55653"
Andorra,"68728"
Angola,"26655513"
Anguilla,"14906"
Antigua and Barbuda,"93659"
Argentina,"44272125"
Armenia,"3031670"
Aruba,"104588"
Australia,"24641662"
Austria,"8592400"
Azerbaijan,"9973697"
Bahamas,"397164"
Bahrain,"1418895"
Bangladesh,"164827718"
Barbados,"285744"
Belarus,"9458535"
Belgium,"11443830"
Belize,"374651"
Benin,"11458611"
Bermuda,"61352"
Bhutan,"792877"
Bolivia,"11052864"
Bosnia and Herzegovina,"3792759"
Botswana,"2343981"
Brazil,"211243220"
British Virgin Islands,"31200"
Brunei,"434448"
Bulgaria,"7045259"
Burkina Faso,"19173322"
Burundi,"11936481"
Cabo Verde,"533468"
Cambodia,"16076370"
Cameroon,"24513689"
Canada,"36626083"
Caribbean Netherlands,"25699"
Cayman Islands,"61557"
Central African Republic,"5098826"
Chad,"14965482"
Channel Islands,"165235"
Chile,"18313495"
China,"1388232693"
Colombia,"49067981"
Comoros,"825920"
Congo,"4866243"
Cook Islands,"21069"
Costa Rica,"4905626"
C“te d'Ivoire,"23815886"
Croatia,"4209815"
Cuba,"11390184"
Cura‡ao,"159987"
Cyprus,"1187575"
Czech Republic,"10555130"
Denmark,"5711837"
Djibouti,"911382"
Dominica,"73353"
Dominican Republic,"10766564"
DR Congo,"82242685"
Ecuador,"16625776"
Egypt,"95215102"
El Salvador,"6167147"
Equatorial Guinea,"894464"
Eritrea,"5481906"
Estonia,"1305755"
Ethiopia,"104344901"
Faeroe Islands,"48335"
Falkland Islands,"2919"
Fiji,"902547"
Finland,"5541274"
France,"64938716"
French Guiana,"282761"
French Polynesia,"288685"
Gabon,"1,801232"
Gambia,"2120418"
Georgia,"3972532"
Germany,"80636124"
Ghana,"28656723"
Gibraltar,"32472"
Greece,"10892931"
Greenland,"56239"
Grenada,"107850"
Guadeloupe,"472462"
Guam,"174214"
Guatemala,"17005497"
Guinea,"13,290,659"
Guinea-Bissau,"1932871"
Guyana,"774407"
Haiti,"10983274"
Holy See,801
Honduras,"8304677"
Hong Kong,"7401941"
Hungary,"9787905"
Iceland,"334303"
India,"1342512706"
Indonesia,"263510146"
Iran,"80945718"
Iraq,"38654287"
Ireland,"4749153"
Isle of Man,"89045"
Israel,"8323248"
Italy,"59797978"
Jamaica,"2813285"
Japan,"126045211"
Jordan,"7876703"
Kazakhstan,"18064470"
Kenya,"48466928"
Kiribati,"116405"
Kuwait,"4099932"
Kyrgyzstan,"6124945"
Laos,"7037521"
Latvia,"1944565"
Lebanon,"6039277"
Lesotho,"2185159"
Liberia,"4730437"
Libya,"6408742"
Liechtenstein,"38022"
Lithuania,"2830582"
Luxembourg,"584103"
Macao,"606384"
Madagascar,"25612972"
Malawi,"18298679"
Malaysia,"31164177"
Maldives,"375867"
Mali,"18689966"
Malta,"420521"
Marshall Islands,"53132"
Martinique,"396071"
Mauritania,"4266448"
Mauritius,"1281353"
Mayotte,"253068"
Mexico,"130222815"
Micronesia,"105566"
Moldova,"4054640"
Monaco,"38010"
Mongolia,"3051900"
Montenegro,"626250"
Montserrat,"5179"
Morocco,"35241418"
Mozambique,"29537914"
Myanmar,"54836483"
Namibia,"2568569"
Nauru,"10301"
Nepal,"29187037"
Netherlands,"17032845"
New Caledonia,"269736"
New Zealand,"4604871"
Nicaragua,"6217796"
Niger,"21563607"
Nigeria,"191835936"
Niue,"1614"
North Korea,"25405296"
Northern Mariana Islands,"55567"
Norway,"5330800"
Oman,"4741305"
Pakistan,"196744376"
Palau,"21726"
Panama,"4051284"
Papua New Guinea,"7933841"
Paraguay,"6811583"
Peru,"32166473"
Philippines,"103796832"
Poland,"38563573"
Portugal,"10264797"
Puerto Rico,"3679086"
Qatar,"2338085"
R‚union,"873356"
Romania,"19237513"
Russia,"143375006"
Rwanda,"12159586"
Saint Helena,"3970"
Saint Kitts and Nevis,"56780"
Saint Lucia,"187768"
Saint Pierre and Miquelon,"6319"
Samoa,"195743"
San Marino,"32104"
Sao Tome and Principe,"198481"
Saudi Arabia,"32742664"
Senegal,"16054275"
Serbia,"8776940"
Seychelles,"97539"
Sierra Leone,"6732899"
Singapore,"5784538"
Sint Maarten,"40117"
Slovakia,"5432157"
Slovenia,"2071252"
Solomon Islands,"606215"
Somalia,"11391962"
South Africa,"55436360"
South Korea,"50704971"
South Sudan,"13096190"
Spain,"46070146"
Sri Lanka,"20905335"
St. Vincent & Grenadines,"109895"
State of Palestine,"4928225"
Sudan,"42166323"
Suriname,"552112"
Swaziland,"1320356"
Sweden,"9920624"
Switzerland,"8454083"
Syria,"18906907"
Taiwan,"23405309"
Tajikistan,"8858115"
Tanzania,"56877529"
TFYR Macedonia,"2083308"
Thailand,"68297547"
Timor-Leste,"1237251"
Togo,"7691915"
Tokelau,"1300"
Tonga,"107797"
Trinidad and Tobago,"1369157"
Tunisia,"11494760"
Turkey,"80417526"
Turkmenistan,"5502586"
Turks and Caicos Islands,"35442"
Tuvalu,"9975"
U.K.,"65511098"
U.S.,"326474013"
Uganda,"41652938"
Ukraine,"44405055"
United Arab Emirates,"9397599"
United States Virgin Islands,"106574"
Uruguay,"3456877"
Uzbekistan,"30690914"
Vanuatu,"276331"
Venezuela,"31925705"
Viet Nam,"95414640"
Wallis and Futuna,"13090"
Western Sahara,"596021"
Yemen,"28119546"
Zambia,"17237931"
Zimbabwe,"16337760"
,
,
